Deal Type,Completion Date,"P1, Start (-1)","P1, End (+1)","P2, Start (-5)","P2, End (+5)","P3, Start (0)","P3, End (+365)","P4, Start (0)","P4, End (+250)","P5, Start (-1)","P5, End (0)",Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target ISIN,Acquirer ISIN,Ticker Acquirer,Seller ISIN,Ticker Seller,Bloomberg Search,Action ID,Action ID Bloomberg,Deal Description,Percent Owned,Percent Sought,Acq P1,Acq P2,Acq P3,Acq P4,Acq P5,Sel P1,Sel P2,Sel P3,Sel P4,Sel P5,Acq Ticker P1,Acq Ticker P2,Acq Ticker P3,Acq Ticker P4,Acq Ticker P5,Sel Ticker P1,Sel Ticker P2,Sel Ticker P3,Sel Ticker P4,Sel Ticker P5,"P1, Start (-1)","P1, End (+1)","P2, Start (-5)","P2, End (+5)","P3, Start (0)","P3, End (+365)","P4, Start (0)","P4, End (+250)","P5, Start (-1)","P5, End (0)",Acq Rel index,Sel Rel Index,Acq CAR P1,Acq CAR P2,Acq CAR P3,Acq CAR P4,Acq CAR P5,Sel CAR P1,Sel CAR P2,Sel CAR P3,Sel CAR P4,Sel CAR P5
M&A,8/9/2010,8/8/2010,8/10/2010,8/4/2010,8/14/2010,8/9/2010,8/9/2011,8/9/2010,4/16/2011,8/8/2010,8/9/2010,"VeriSign Japan KK,Identity and Authentication business",Symantec Corp,VeriSign Inc,1280,Cash, ,Completed,,US8715031089,SYMC US Equity,US92343E1029,VRSN US Equity,CACX,45443916,CACX 45443916,"VeriSign Inc sold VeriSign Japan KK & Identity and Authentication business to Symantec Corp for USD 1,280.00M. The transaction was announced on 05/19/2010 and completed on 08/09/2010.",0,100,-0.0107362,-0.05657492,0.2967791,0.4202454,0,0.009830508,-0.03842265,0.1596568,0.3490149,0.00440678,-0.000474683,-0.04174152,0.06044284,0.1864898,0.005502446,-0.000474683,-0.04174152,0.06044284,0.1864898,0.005502446,20100808,20100810,20100804,20100814,20100809,20110809,20100809,20110416,20100808,20100809,SPX Index,SPX Index,-0.010261517,-0.0148334,0.23633626,0.2337556,-0.005502446,0.010305191,0.00331887,0.09921396,0.1625251,-0.001095666
M&A,12/1/2008,11/30/2008,12/2/2008,11/26/2008,12/6/2008,12/1/2008,12/1/2009,12/1/2008,8/8/2009,11/30/2008,12/1/2008,Oil and gas properties,Occidental Petroleum Corp,Plains Exploration & Production Co,1250,Cash, ,Completed,,US6745991058,OXY US Equity,US7265051000,PXP US Equity,CACX,33556199,CACX 33556199,"Plains Exploration & Production Co sold Oil and gas properties to Occidental Petroleum Corp for USD 1,250.00M. The transaction was announced on 09/25/2008 and completed on 12/01/2008.",50,50,-0.125785,-0.1644356,0.8301785,0.553433,-0.1523827,-0.06393088,-0.2793624,0.3594515,0.2722821,-0.1179266,-0.05278671,-0.01231921,0.3932331,0.2605901,-0.08923206,-0.05278671,-0.01231921,0.3932331,0.2605901,-0.08923206,20081130,20081202,20081126,20081206,20081201,20091201,20081201,20090808,20081130,20081201,SPX Index,SPX Index,-0.07299829,-0.15211639,0.4369454,0.2928429,-0.06315064,-0.01114417,-0.26704319,-0.0337816,0.011692,-0.02869454
M&A,4/29/2011,4/28/2011,4/30/2011,4/24/2011,5/4/2011,4/29/2011,4/28/2012,4/29/2011,1/4/2012,4/28/2011,4/29/2011,Medicare Prescription Drug Business,CVS Caremark Corp,Universal American Corp/NY,1250,Cash, ,Completed,,US1266501006,CVS US Equity,US91338E1010,UAM US Equity,CACX,50896411,CACX 50896411,"Universal American Corp/NY sold Medicare Prescription Drug Business to CVS Caremark Corp for USD 1,250.00M. The transaction was announced on 12/31/2010 and completed on 04/29/2011.",0,100,-0.000827586,-0.002485501,0.2571881,0.1621316,-0.000827586,-0.01028278,0.04271576,0.02835892,0.3628462,-0.01028278,0.002304803,0.007868268,0.05150328,-0.04883499,0.002304803,0.002304803,0.007868268,0.05150328,-0.04883499,0.002304803,20110428,20110430,20110424,20110504,20110429,20120428,20110429,20120104,20110428,20110429,SPX Index,SPX Index,-0.003132389,-0.010353769,0.20568482,0.21096659,-0.003132389,-0.012587583,0.034847492,-0.02314436,0.41168119,-0.012587583
M&A,11/21/2006,11/20/2006,11/22/2006,11/16/2006,11/26/2006,11/21/2006,11/21/2007,11/21/2006,7/29/2007,11/20/2006,11/21/2006,E! Entertainment Television LLC,Comcast Corp,Walt Disney Co/The,1230,Cash, ,Completed,    N.A.,US20030N1019,CMCSA US Equity,US2546871060,DIS US Equity,CACX,24005851,CACX 24005851,"The Walt Disney Co sold E! Entertainment Television LLC to Comcast Corp for USD 1,230.00M. The transaction was completed on 11/21/2006.",60.5,39.5,-0.02794803,-0.01535794,-0.2924041,-0.01696165,-0.002696739,-0.003925121,-0.004537205,-0.03064353,0.03828849,0.003321256,0.004127484,0.0011119,0.02896907,0.05271112,0.001701067,0.004127484,0.0011119,0.02896907,0.05271112,0.001701067,20061120,20061122,20061116,20061126,20061121,20071121,20061121,20070729,20061120,20061121,SPX Index,SPX Index,-0.032075514,-0.01646984,-0.32137317,-0.06967277,-0.004397806,-0.008052605,-0.005649105,-0.0596126,-0.01442263,0.001620189
M&A,6/29/2007,6/28/2007,6/30/2007,6/24/2007,7/4/2007,6/29/2007,6/28/2008,6/29/2007,3/5/2008,6/28/2007,6/29/2007,DTE Gas & Oil Co,Atlas Energy Resources LLC,DTE Energy Co,1225,Cash, ,Completed,    N.A.,US0493031001,ATN US Equity,US2333311072,DTE US Equity,CACX,26438637,CACX 26438637,"DTE Energy Co sold DTE Gas & Oil Co to Atlas Energy Resources LLC for USD 1,225.00M. The transaction was announced on 05/20/2007 and completed on 06/29/2007.",0,100,-0.000292483,0.02047981,0.1600118,0.01501302,-0.000292483,0,0.01300041,-0.09861645,-0.1382071,0,-0.001560998,0.01531695,-0.1316532,-0.0997452,-0.001560998,-0.001560998,0.01531695,-0.1316532,-0.0997452,-0.001560998,20070628,20070630,20070624,20070704,20070629,20080628,20070629,20080305,20070628,20070629,SPX Index,SPX Index,0.001268515,0.00516286,0.291665,0.11475822,0.001268515,0.001560998,-0.00231654,0.03303675,-0.0384619,0.001560998
M&A,12/13/2006,12/12/2006,12/14/2006,12/8/2006,12/18/2006,12/13/2006,12/13/2007,12/13/2006,8/20/2007,12/12/2006,12/13/2006,Williams Four Corners LLC,Williams Partners LP,Williams Cos Inc/The,1223,Cash, ,Completed,    N.A.,US96950F1049,WPZ US Equity,US9694571004,WMB US Equity,CACX,23945815,CACX 23945815,"The Williams Cos Inc sold Williams Four Corners LLC to Williams Partners LP for USD 1,223.00M. The transaction was announced on 11/16/2006 and completed on 12/13/2006.",25.1,74.900002,0.004697286,-0.00550603,0.009828571,0.1252874,0.01122129,0.01096491,-0.03391685,0.3100282,0.1341783,0.01133041,0.01007833,0.009203105,0.07395076,0.03554715,0.001341502,0.01007833,0.009203105,0.07395076,0.03554715,0.001341502,20061212,20061214,20061208,20061218,20061213,20071213,20061213,20070820,20061212,20061213,SPX Index,SPX Index,-0.005381044,-0.014709135,-0.064122189,0.08974025,0.009879788,0.00088658,-0.043119955,0.23607744,0.09863115,0.009988908
M&A,3/1/2010,2/28/2010,3/2/2010,2/24/2010,3/6/2010,3/1/2010,3/1/2011,3/1/2010,11/6/2010,2/28/2010,3/1/2010,Food Americas Operations,Bemis Co Inc,Rio Tinto PLC,1200,Stock & Debt, ,Completed,,US0814371052,BMS US Equity,GB0007188757,RIO LN Equity,CACX,39901931,CACX 39901931,"Rio Tinto PLC sold Food Americas Operations to Bemis Co Inc for USD 1,200.00M. The transaction was announced on 07/06/2009 and completed on 03/01/2010.",0,100,0.006832935,0.04468085,0.11687,0.08915788,0.01161599,0.05618311,0.1006691,0.249917,0.2650533,0.03106421,0.01253789,0.03081333,0.1942496,0.1132033,0.01018526,0.02419265,0.0490799,0.1367731,0.11583,0.009603087,20100228,20100302,20100224,20100306,20100301,20110301,20100301,20101106,20100228,20100301,SPX Index,UKX Index,-0.005704955,0.01386752,-0.0773796,-0.02404542,0.00143073,0.03199046,0.0515892,0.1131439,0.1492233,0.021461123
M&A,3/30/2012,3/29/2012,3/31/2012,3/25/2012,4/4/2012,3/30/2012,3/30/2013,3/30/2012,12/5/2012,3/29/2012,3/30/2012,Hugoton Basin Properties/Kansas,Linn Energy LLC,BP PLC,1200,Cash, ,Completed,,US5360201009,LINE US Equity,GB0007980591,BP/ LN Equity,CACX,62000975,CACX 62000975,BP PLC sold Hugoton Basin Properties/Kansas to Linn Energy LLC for USD 1200.00M. The transaction was announced on 02/27/2012 and completed on 03/30/2012. The acquisition marks Linn Energy's entry into the largest conventional natural gas field in the U.S.,0,100,0.006861969,0.01580611,0.07113995,0.07008625,0.006861969,0.007953802,-0.05339755,0.05068366,-0.04198945,0.007953802,0.00370409,0.002027774,0.1395819,0.01643532,0.00370409,0.004601232,-0.0246853,0.1590704,0.05259662,0.004601232,20120329,20120331,20120325,20120404,20120330,20130330,20120330,20121205,20120329,20120330,SPX Index,UKX Index,0.003157879,0.013778336,-0.06844195,0.05365093,0.003157879,0.00335257,-0.02871225,-0.10838674,-0.09458607,0.00335257
M&A,5/3/2010,5/2/2010,5/4/2010,4/28/2010,5/8/2010,5/3/2010,5/3/2011,5/3/2010,1/8/2011,5/2/2010,5/3/2010,Long-Term Asset Management Business,Ameriprise Financial Inc,Bank of America Corp,1200,Cash, ,Completed,,US03076C1062,AMP US Equity,US0605051046,BAC US Equity,CACX,40122934,CACX 40122934,"Bank of America Corp sold Long-Term Asset Management Business to Ameriprise Financial Inc for USD 1,200.00M. The transaction was announced on 09/30/2009 and completed on 05/03/2010.",0,100,-0.009490941,-0.08095001,0.3179792,0.283237,0.02459016,-0.01514302,-0.08998875,-0.3002335,-0.2091693,0.01289961,-0.01102003,-0.06701256,0.1510419,0.07320537,0.01312844,-0.01102003,-0.06701256,0.1510419,0.07320537,0.01312844,20100502,20100504,20100428,20100508,20100503,20110503,20100503,20110108,20100502,20100503,SPX Index,SPX Index,0.001529089,-0.01393745,0.1669373,0.21003163,0.01146172,-0.00412299,-0.02297619,-0.4512754,-0.28237467,-0.00022883
M&A,8/1/2007,7/31/2007,8/2/2007,7/27/2007,8/6/2007,8/1/2007,7/31/2008,8/1/2007,4/7/2008,7/31/2007,8/1/2007,Primedia Enthusiast Media,Source Interlink Cos Inc,RentPath Inc,1177.9,Cash, ,Completed,    N.A.,US8361512093,SORCQ US Equity,US74157K8466,PRM US Equity,CACX,26359743,CACX 26359743,"RentPath Inc sold Primedia Enthusiast Media to Source Interlink Cos Inc for USD 1,177.90M. The transaction was announced on 05/14/2007 and completed on 08/01/2007.",0,100,0.05022831,-0.09698276,-0.6222222,-0.6111111,0.02739726,-0.04166647,0.04166687,-0.6717406,-0.4391173,-0.004237288,0.01193534,0.006393631,-0.116723,-0.04953701,0.007303472,0.01193534,0.006393631,-0.116723,-0.04953701,0.007303472,20070731,20070802,20070727,20070806,20070801,20080731,20070801,20080407,20070731,20070801,SPX Index,SPX Index,0.03829297,-0.103376391,-0.5054992,-0.56157409,0.020093788,-0.05360181,0.035273239,-0.5550176,-0.38958029,-0.01154076
M&A,12/27/2007,12/26/2007,12/28/2007,12/22/2007,1/1/2008,12/27/2007,12/26/2008,12/27/2007,9/2/2008,12/26/2007,12/27/2007,Initial Electronic Security Group,United Technologies Corp,Rentokil Initial PLC,1171.38,Cash, ,Completed,    N.A.,US9130171096,UTX US Equity,GB00B082RF11,RTO LN Equity,CACX,25762856,CACX 25762856,Rentokil Initial PLC sold Initial Electronic Security Group to United Technologies Corp for GBP 595.00M. The transaction was announced on 03/30/2007 and completed on 12/27/2007.,0,100,-0.01220766,-0.01657459,-0.3203028,-0.1273565,-0.01259316,0.005862647,0.02197802,-0.6293748,-0.3322691,0.006700168,-0.01255653,-0.01056019,-0.3948437,-0.1222688,-0.01399626,-0.000370395,0.003899442,-0.3195714,-0.1046556,0.002855247,20071226,20071228,20071222,20080101,20071227,20081226,20071227,20080902,20071226,20071227,SPX Index,UKX Index,0.00034887,-0.0060144,0.0745409,-0.0050877,0.0014031,0.006233042,0.018078578,-0.3098034,-0.2276135,0.003844921
M&A,3/24/2008,3/23/2008,3/25/2008,3/19/2008,3/29/2008,3/24/2008,3/24/2009,3/24/2008,11/29/2008,3/23/2008,3/24/2008,Head office building of Shinsei Bank,Morgan Stanley,Shinsei Bank Ltd,1167.16,Cash, ,Completed,,US6174464486,MS US Equity,JP3729000004,8303 JP Equity,CACX,30667866,CACX 30667866,"Shinsei Bank Ltd sold Head office building of Shinsei Bank to Morgan Stanley for JPY 118,000.00M. The transaction was announced on 03/13/2008 and completed on 03/24/2008.",0,100,-0.004429233,0.0296893,-0.4635788,-0.6886781,-0.01852225,-0.02881844,-0.009095701,-0.6618403,-0.5491204,-0.02017291,0.01766951,0.01324805,-0.3870369,-0.3252424,0.01532549,0.01880261,0.0496618,-0.3227167,-0.3053637,0.00336873,20080323,20080325,20080319,20080329,20080324,20090324,20080324,20081129,20080323,20080324,SPX Index,TPX Index,-0.022098743,0.01644125,-0.0765419,-0.3634357,-0.03384774,-0.04762105,-0.058757501,-0.3391236,-0.2437567,-0.02354164
M&A,5/31/2007,5/30/2007,6/1/2007,5/26/2007,6/5/2007,5/31/2007,5/30/2008,5/31/2007,2/5/2008,5/30/2007,5/31/2007,Noranda Aluminum Inc,Apollo Global Management LLC,Xstrata Ltd,1150,Cash, ,Completed,    N.A.,US0376123065,APO US Equity,GB0031411001,XTA LN Equity,CACX,25916093,CACX 25916093,"Xstrata Ltd sold Noranda Aluminum Inc to Apollo Global Management LLC for USD 1,150.00M. The transaction was announced on 04/11/2007 and completed on 05/31/2007.",0,100,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.06294964,0.06498195,0.3839463,0.3094201,0.04388489,0.004014395,0.01062936,-0.06628244,-0.1152113,0.000278709,0.01129945,0.009719493,-0.047316,-0.09633243,0.002923283,20070530,20070601,20070526,20070605,20070531,20080530,20070531,20080205,20070530,20070531,SPX Index,UKX Index,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.05165019,0.055262457,0.4312623,0.40575253,0.040961607
M&A,11/30/2010,11/29/2010,12/1/2010,11/25/2010,12/5/2010,11/30/2010,11/30/2011,11/30/2010,8/7/2011,11/29/2010,11/30/2010,"Southern LNG Co LLC,El Paso Elba Express Co LLC",El Paso Pipeline Partners LP,El Paso LLC,1133,"Cash, Stock & Debt", ,Completed,,US2837021086,EPB US Equity,US28336L1098,EP US Equity,CACX,49698829,CACX 49698829,"El Paso LLC sold Southern LNG Co LLC & El Paso Elba Express Co LLC to El Paso Pipeline Partners LP for USD 1,133.00M. The transaction was announced on 11/15/2010 and completed on 11/30/2010.",51,49,-0.001212856,0.004830918,0.04321468,0.0681276,0.004244997,0.01172161,0.01093611,0.8589375,0.3314685,-0.01172161,0.01561581,0.02279653,0.07828762,0.02883987,-0.006015866,0.01561581,0.02279653,0.07828762,0.02883987,-0.006015866,20101129,20101201,20101125,20101205,20101130,20111130,20101130,20110807,20101129,20101130,SPX Index,SPX Index,-0.016828666,-0.017965612,-0.03507294,0.03928773,0.010260863,-0.0038942,-0.01186042,0.78064988,0.30262863,-0.005705744
M&A,4/13/2011,4/12/2011,4/14/2011,4/8/2011,4/18/2011,4/13/2011,4/12/2012,4/13/2011,12/19/2011,4/12/2011,4/13/2011,193 Netto supermarkets/UK,Wal-Mart Stores Inc,AP Moeller - Maersk A/S,1131.68,Cash, ,Completed,,US9311421039,WMT US Equity,DK0010244508,MAERSKB DC Equity,CACX,45605855,CACX 45605855,AP Moeller - Maersk A/S sold 193 Netto supermarkets/UK to Wal-Mart Stores Inc for GBP 778.00M. The transaction was announced on 05/27/2010 and completed on 04/13/2011.,0,100,-0.000373692,0.0146555,0.152023,0.09950334,0.002055306,0.006573542,-0.04541832,-0.1337683,-0.295677,0.007395234,0.000389503,-0.01718813,0.07861206,-0.06941336,0.00029304,-0.006467443,-0.02849599,-0.009575538,-0.1928143,0.000587131,20110412,20110414,20110408,20110418,20110413,20120412,20110413,20111219,20110412,20110413,SPX Index,KFX Index,-0.000763195,0.03184363,0.07341094,0.1689167,0.001762266,0.013040985,-0.01692233,-0.124192762,-0.1028627,0.006808103
M&A,4/1/2008,3/31/2008,4/2/2008,3/27/2008,4/6/2008,4/1/2008,4/1/2009,4/1/2008,12/7/2008,3/31/2008,4/1/2008,Hydril pressure control business,General Electric Co,Tenaris SA,1115,Cash, ,Completed,,US3696041033,GE US Equity,LU0156801721,TEN IM Equity,CACX,29976941,CACX 29976941,"Tenaris SA sold Hydril pressure control business to General Electric Co for USD 1,115.00M. The transaction was announced on 01/28/2008 and completed on 04/01/2008.",0,100,0.02728992,0.0198208,-0.7153551,-0.5244872,0.03836801,0.019476,0.03240685,-0.504042,-0.5342755,0.005963384,0.0340998,0.03396874,-0.3923397,-0.3499325,0.03589555,0.04820344,0.05295399,-0.4778945,-0.4155715,0.02837171,20080331,20080402,20080327,20080406,20080401,20090401,20080401,20081207,20080331,20080401,SPX Index,FTSEMIB Index,-0.00680988,-0.01414794,-0.3230154,-0.1745547,0.00247246,-0.02872744,-0.02054714,-0.0261475,-0.118704,-0.022408326
M&A,11/1/2013,10/31/2013,11/2/2013,10/27/2013,11/6/2013,11/1/2013,11/1/2014,11/1/2013,7/9/2014,10/31/2013,11/1/2013,Dominion of Canada General Insurance Co/The,Travelers Cos Inc/The,E-L Financial Corp Ltd,1103.37,Cash, ,Completed,    N.A.,US89417E1091,TRV US Equity,CA2685751075,ELF CN Equity,CACX,78227028,CACX 78227028,"E-L Financial Corp Ltd sold Dominion of Canada General Insurance Co to The Travelers Cos Inc for CAD 1125.00M in cash. The transaction was announced on 06/10/2013, completed on 11/01/2013, and was the largest deal in its industry at the time of completion. The Travelers Companies, Inc. (NYSE:...",0,100,0.001158749,0.009927277,#VALUE!,0.1152142,0.001158749,0.03141905,0.03197675,#VALUE!,0.08799872,0.03141905,0.002903977,0.006984855,#VALUE!,0.136566,0.002903977,-0.00177015,-0.000680497,#VALUE!,0.1643509,-0.00177015,20131031,20131102,20131027,20131106,20131101,20141101,20131101,20140709,20131031,20131101,SPX Index,SPTSX Index,-0.001745228,0.002942422,#VALUE!,-0.0213518,-0.001745228,0.0331892,0.032657247,#VALUE!,-0.07635218,0.0331892
M&A,6/22/2011,6/21/2011,6/23/2011,6/17/2011,6/27/2011,6/22/2011,6/21/2012,6/22/2011,2/27/2012,6/21/2011,6/22/2011,JOY Global Longview Operations LLC,Joy Global Inc,Rowan Cos Plc,1100,Cash, ,Completed,    N.A.,US4811651086,JOY US Equity,GB00B6SLMV12,RDC US Equity,CACX,54531593,CACX 54531593,"Rowan Cos Plc sold JOY Global Longview Operations LLC to Joy Global Inc for USD 1,100.00M. The transaction was announced on 05/16/2011 and completed on 06/22/2011.",0,100,-0.003633886,0.04486026,-0.3677357,0.04429352,-0.006359301,-0.002969762,-0.005237045,-0.1937567,0.0368676,0.003239741,-0.009233073,0.00692332,0.05260743,0.07857682,-0.006425322,-0.009233073,0.00692332,0.05260743,0.07857682,-0.006425322,20110621,20110623,20110617,20110627,20110622,20120621,20110622,20120227,20110621,20110622,SPX Index,SPX Index,0.005599187,0.03793694,-0.42034313,-0.0342833,6.6021E-05,0.006263311,-0.012160365,-0.24636413,-0.04170922,0.009665063
M&A,11/1/2007,10/31/2007,11/2/2007,10/27/2007,11/6/2007,11/1/2007,10/31/2008,11/1/2007,7/8/2008,10/31/2007,11/1/2007,Mexican Tobacco Business,Altria Group Inc,Grupo Carso SAB de CV,1100,Cash, ,Completed,,US02209S1033,MO US Equity,MXP461181085,GCARSOA1 MM Equity,CACX,27277054,CACX 27277054,"Grupo Carso SAB de CV sold Mexican Tobacco Business to Altria Group Inc for USD 1,100.00M. The transaction was announced on 07/18/2007 and completed on 11/01/2007.",50,30,-0.01124366,-0.000411128,-0.09053537,-0.01742213,-0.01439737,-0.04905335,-0.04880174,-0.06387564,0.2292461,-0.04905335,-0.025358,-0.009171986,-0.3432875,-0.1422953,-0.02618396,-0.02073734,-0.04639946,-0.3222783,-0.0595018,-0.02073734,20071031,20071102,20071027,20071106,20071101,20081031,20071101,20080708,20071031,20071101,SPX Index,MEXBOL Index,0.01411434,0.008760858,0.25275213,0.12487317,0.01178659,-0.02831601,-0.00240228,0.25840266,0.2887479,-0.02831601
M&A,5/1/2008,4/30/2008,5/2/2008,4/26/2008,5/6/2008,5/1/2008,5/1/2009,5/1/2008,1/6/2009,4/30/2008,5/1/2008,Mortgage loan servicing business,Invesco Ltd,H&R Block Inc,1100,Cash, ,Completed,,BMG491BT1088,IVZ US Equity,US0936711052,HRB US Equity,CACX,30711206,CACX 30711206,"H&R Block Inc sold Mortgage loan servicing business to Invesco Ltd for USD 1,100.00M. The transaction was announced on 03/17/2008 and completed on 05/01/2008.",0,100,0.08265107,0.1462418,-0.4343337,-0.4446776,0.04873294,0.03109282,0.02131519,-0.3263939,0.01266278,0.04709648,0.02062353,0.01503771,-0.3607303,-0.3250558,0.01733316,0.02062353,0.01503771,-0.3607303,-0.3250558,0.01733316,20080430,20080502,20080426,20080506,20080501,20090501,20080501,20090106,20080430,20080501,SPX Index,SPX Index,0.06202754,0.13120409,-0.0736034,-0.1196218,0.03139978,0.01046929,0.00627748,0.0343364,0.33771858,0.02976332
M&A,3/28/2008,3/27/2008,3/29/2008,3/23/2008,4/2/2008,3/28/2008,3/28/2009,3/28/2008,12/3/2008,3/27/2008,3/28/2008,Corporate Payment Services,American Express Co,General Electric Co,1100,Cash, ,Completed,,US0258161092,AXP US Equity,US3696041033,GE US Equity,CACX,30859153,CACX 30859153,"General Electric Co sold Corporate Payment Services to American Express Co for USD 1,100.00M. The transaction was announced on 03/27/2008 and completed on 03/28/2008.",0,100,-0.0374749,0.01457155,-0.657459,-0.4861879,-0.0374749,-0.005973392,0.0141371,-0.6832827,-0.4930181,-0.005973392,-0.007909269,0.02914495,-0.3632931,-0.326915,-0.007909269,-0.007909269,0.02914495,-0.3632931,-0.326915,-0.007909269,20080327,20080329,20080323,20080402,20080328,20090328,20080328,20081203,20080327,20080328,SPX Index,SPX Index,-0.029565631,-0.0145734,-0.2941659,-0.1592729,-0.029565631,0.001935877,-0.01500785,-0.3199896,-0.1661031,0.001935877
M&A,8/6/2007,8/5/2007,8/7/2007,8/1/2007,8/11/2007,8/6/2007,8/5/2008,8/6/2007,4/12/2008,8/5/2007,8/6/2007,Oil & gas properties,McMoRan Exploration Co,Newfield Exploration Co,1100,Cash, ,Completed,,US5824111042,MMR US Equity,US6512901082,NFX US Equity,CACX,26891334,CACX 26891334,"Newfield Exploration Co sold Oil & gas properties to McMoRan Exploration Co for USD 1,100.00M. The transaction was announced on 06/21/2007 and completed on 08/06/2007.",0,100,0.004350979,0.02961918,0.8055754,0.5218013,0.01450326,-0.001901944,-0.009484536,-0.06662423,0.1935073,-0.004015216,0.03051867,-0.007422145,-0.1058479,-0.07801294,0.02417352,0.03051867,-0.007422145,-0.1058479,-0.07801294,0.02417352,20070805,20070807,20070801,20070811,20070806,20080805,20070806,20080412,20070805,20070806,SPX Index,SPX Index,-0.026167691,0.037041325,0.9114233,0.59981424,-0.00967026,-0.032420614,-0.002062391,0.03922367,0.27152024,-0.028188736
M&A,6/25/2009,6/24/2009,6/26/2009,6/20/2009,6/30/2009,6/25/2009,6/25/2010,6/25/2009,3/2/2010,6/24/2009,6/25/2009,Boddington Gold Mine,Newmont Mining Corp,AngloGold Ashanti Ltd,1100,Cash and Stock, ,Completed,,US6516391066,NEM US Equity,ZAE000043485,ANG SJ Equity,CACX,35516267,CACX 35516267,"AngloGold Ashanti Ltd sold Boddington Gold Mine to Newmont Mining Corp for USD 1,100.00M. The transaction was announced on 01/27/2009 and completed on 06/25/2009.",66.660004,33.330002,0.01142313,-0.02411652,0.4428265,0.2050256,0.02522608,0.00930626,-0.08080545,0.1279478,-0.07144378,0.01522843,0.02015813,-0.001537922,0.1940472,0.2326745,0.02144785,-0.003711319,-0.01492044,0.2602205,0.2557767,-0.01050453,20090624,20090626,20090620,20090630,20090625,20100625,20090625,20100302,20090624,20090625,SPX Index,JALSH Index,-0.008735,-0.022578598,0.2487793,-0.0276489,0.00377823,0.013017579,-0.06588501,-0.1322727,-0.32722048,0.02573296
M&A,12/9/2011,12/8/2011,12/10/2011,12/4/2011,12/14/2011,12/9/2011,12/8/2012,12/9/2011,8/15/2012,12/8/2011,12/9/2011,79 Office Portfolio,Blackstone Group LP/The,Duke Realty Corp,1080,Cash, ,Completed,,US09253U1088,BX US Equity,US2644115055,DRE US Equity,CACX,58623373,CACX 58623373,"Duke Realty Corp sold 79 Office Portfolio to The Blackstone Group LP for USD 1,080.00M. The transaction was announced on 10/21/2011 and completed on 12/09/2011.",0,100,0.0259366,-0.0534868,0.09761838,-0.01629886,0.0259366,0.03521127,-0.03030303,0.2050696,0.2288713,0.03521127,0.0168865,-0.02538213,0.1554468,0.1368406,0.0168865,0.0168865,-0.02538213,0.1554468,0.1368406,0.0168865,20111208,20111210,20111204,20111214,20111209,20121208,20111209,20120815,20111208,20111209,SPX Index,SPX Index,0.0090501,-0.02810467,-0.05782842,-0.15313946,0.0090501,0.01832477,-0.0049209,0.0496228,0.0920307,0.01832477
M&A,9/27/2010,9/26/2010,9/28/2010,9/22/2010,10/2/2010,9/27/2010,9/27/2011,9/27/2010,6/4/2011,9/26/2010,9/27/2010,Endesa Spanish Gas Grid Assets,Goldman Sachs Group Inc/The,Endesa SA,1078.32,Undisclosed, ,Completed,,US38141G1040,GS US Equity,ES0130670112,ELE SM Equity,CACX,48504765,CACX 48504765,Endesa SA sold Endesa Spanish Gas Grid Assets to The Goldman Sachs Group Inc for EUR 800.00M. The transaction was completed on 09/27/2010.,0,80,-0.01541282,-0.002498818,-0.311347,-0.06666921,-0.008690929,-0.01214369,-0.01270971,-0.08253037,0.1953037,-0.01635687,-0.000654685,0.0108871,0.04981288,0.1538123,-0.005655219,-0.01276142,-0.009852221,-0.1439711,0.01260611,-0.01068269,20100926,20100928,20100922,20101002,20100927,20110927,20100927,20110604,20100926,20100927,SPX Index,IBEX Index,-0.014758135,-0.013385918,-0.36115988,-0.22048151,-0.00303571,0.00061773,-0.002857489,0.06144073,0.18269759,-0.00567418
M&A,10/3/2011,10/2/2011,10/4/2011,9/28/2011,10/8/2011,10/3/2011,10/2/2012,10/3/2011,6/9/2012,10/2/2011,10/3/2011,Marcellus Shale/The,Noble Energy Inc,CONSOL Energy Inc,1070,Cash, ,Completed,    N.A.,US6550441058,NBL US Equity,US20854P1093,CNX US Equity,CACX,57047462,CACX 57047462,"CONSOL Energy Inc sold The Marcellus Shale to Noble Energy Inc for USD 1,070.00M. The transaction was announced on 08/18/2011 and completed on 10/03/2011.",0,50,0.02344633,0.05448943,0.382005,0.2463335,-0.03149718,0.01473622,0.01122965,-0.0345518,-0.1002077,-0.06572355,-0.006421612,0.004696478,0.3448578,0.2247683,-0.02840183,-0.006421612,0.004696478,0.3448578,0.2247683,-0.02840183,20111002,20111004,20110928,20111008,20111003,20121002,20111003,20120609,20111002,20111003,SPX Index,SPX Index,0.029867942,0.049792952,0.0371472,0.0215652,-0.00309535,0.021157832,0.006533172,-0.3794096,-0.324976,-0.03732172
